AppID,Total_Reviews,Error_Keyword_Reviews,Error_Keyword_Percentage
365670,72,2,2.7777777777777777
367500,86,5,5.813953488372093
367520,100,16,16.0
368230,5,1,20.0
368500,94,10,10.638297872340425
370910,2,0,0.0
372000,1,0,0.0
373420,75,6,8.0
374040,15,0,0.0
374320,100,6,6.0
376210,99,27,27.27272727272727
378540,29,2,6.896551724137931
380600,2,0,0.0
383080,100,5,5.0
383870,100,21,21.0
386180,2,0,0.0
386360,1,0,0.0
386940,100,2,2.0
387290,100,7,7.000000000000001
387990,100,8,8.0
388410,34,12,35.294117647058826
389430,24,3,12.5
389570,62,2,3.225806451612903
389730,84,2,2.380952380952381
391460,100,9,9.0
391540,100,6,6.0
391720,14,0,0.0
392160,100,17,17.0
393380,100,20,20.0
394360,100,5,5.0
395170,9,1,11.11111111111111
397900,4,0,0.0
407530,6,0,0.0
410320,23,8,34.78260869565217
412020,100,22,22.0
413150,100,12,12.0
414700,97,4,4.123711340206185
417860,100,4,4.0
417910,2,0,0.0
418070,1,0,0.0
418240,38,0,0.0
418460,91,6,6.593406593406594
424370,20,3,15.0
424840,100,7,7.000000000000001
427270,97,11,11.34020618556701
427520,99,15,15.151515151515152
427730,59,2,3.389830508474576
429470,2,0,0.0
431240,100,4,4.0
431960,100,8,8.0
433340,100,4,4.0
433850,7,0,0.0
434650,5,1,20.0
435150,100,11,11.0
436150,34,1,2.941176470588235
436520,100,30,30.0
437220,1,0,0.0
437900,9,0,0.0
437920,13,1,7.6923076923076925
438040,47,3,6.382978723404255
438100,100,8,8.0
438740,25,0,0.0
439190,2,0,0.0
439700,100,20,20.0
440900,100,36,36.0
442080,1,0,0.0
443110,5,1,20.0
444090,2,1,50.0
444200,1,0,0.0
444640,3,0,0.0
445980,34,2,5.88235294117647
447020,10,0,0.0
447040,100,18,18.0
447820,8,1,12.5
450390,2,0,0.0
453480,100,20,20.0
454650,72,2,2.7777777777777777
457140,100,19,19.0
459820,2,0,0.0
460920,100,7,7.000000000000001
460930,100,19,19.0
460950,100,6,6.0
462780,23,6,26.08695652173913
464920,53,6,11.320754716981133
466240,100,41,41.0
466560,99,9,9.090909090909092
470220,100,4,4.0
471710,92,2,2.1739130434782608
474960,57,6,10.526315789473683
475150,50,5,10.0
476480,47,3,6.382978723404255
477160,100,4,4.0
480490,100,11,11.0
482730,1,0,0.0
485510,56,4,7.142857142857142
488790,100,13,13.0
489520,4,1,25.0
490220,94,8,8.51063829787234
491950,33,1,3.0303030303030303
493340,100,3,3.0
495420,100,12,12.0
502500,100,5,5.0
504230,100,5,5.0
504370,4,0,0.0
506540,18,3,16.666666666666664
508440,100,8,8.0
510840,10,1,10.0
511470,14,1,7.142857142857142
513710,100,22,22.0
515690,24,7,29.166666666666668
516750,100,20,20.0
518790,100,9,9.0
526870,100,8,8.0
527230,51,3,5.88235294117647
527430,49,4,8.16326530612245
529340,100,21,21.0
530700,11,0,0.0
534380,99,30,30.303030303030305
535930,44,2,4.545454545454546
544750,23,0,0.0
544810,37,7,18.91891891891892
546560,100,13,13.0
548430,100,14,14.000000000000002
550650,11,2,18.181818181818183
552100,100,10,10.0
552500,100,4,4.0
552520,100,17,17.0
552990,5,1,20.0
555570,100,39,39.0
560130,60,7,11.666666666666666
568220,99,8,8.080808080808081
569480,100,5,5.0
570940,100,12,12.0
573100,30,8,26.666666666666668
578080,100,22,22.0
581320,100,9,9.0
582010,100,12,12.0
582160,100,17,17.0
582500,6,2,33.33333333333333
583950,1,0,0.0
585690,10,0,0.0
588650,100,5,5.0
590380,77,6,7.792207792207792
594570,56,6,10.714285714285714
599140,100,8,8.0
602960,100,5,5.0
603850,68,3,4.411764705882353
606150,45,6,13.333333333333334
606280,19,4,21.052631578947366
611500,5,0,0.0
613010,11,2,18.181818181818183
613100,100,9,9.0
620980,100,7,7.000000000000001
621060,87,7,8.045977011494253
622650,100,8,8.0
627690,24,3,12.5
629520,100,1,1.0
629730,100,13,13.0
629760,87,6,6.896551724137931
632360,100,10,10.0
632470,100,9,9.0
633230,44,8,18.181818181818183
635260,100,7,7.000000000000001
636480,100,3,3.0
637090,74,3,4.054054054054054
638070,1,0,0.0
640590,13,3,23.076923076923077
640820,78,12,15.384615384615385
641990,94,5,5.319148936170213
644930,78,12,15.384615384615385
645630,58,4,6.896551724137931
646570,100,4,4.0
646910,100,11,11.0
648350,62,1,1.6129032258064515
648800,100,15,15.0
657200,23,0,0.0
671860,100,7,7.000000000000001
673130,22,4,18.181818181818183
673950,11,0,0.0
674020,10,1,10.0
674940,100,7,7.000000000000001
675010,68,11,16.176470588235293
677620,1,0,0.0
678950,63,3,4.761904761904762
678960,89,6,6.741573033707865
681660,2,0,0.0
683320,100,11,11.0
686810,100,14,14.000000000000002
690790,100,9,9.0
692850,42,10,23.809523809523807
698780,2,0,0.0
699130,100,9,9.0
701160,91,6,6.593406593406594
703080,100,5,5.0
704270,70,13,18.571428571428573
704850,100,13,13.0
728880,100,1,1.0
736220,89,15,16.853932584269664
736590,4,0,0.0
738060,6,0,0.0
739630,100,15,15.0
740130,36,1,2.7777777777777777
747660,100,16,16.0
752590,100,12,12.0
753640,100,12,12.0
755790,1,0,0.0
761890,1,0,0.0
774171,100,9,9.0
774861,4,0,0.0
779340,71,7,9.859154929577464
787860,38,2,5.263157894736842
788100,18,1,5.555555555555555
805550,100,1,1.0
809960,1,0,0.0
812140,100,12,12.0
813780,100,8,8.0
813820,20,0,0.0
815370,100,24,24.0
823130,5,0,0.0
823500,81,4,4.938271604938271
834910,31,6,19.35483870967742
837470,100,3,3.0
838350,3,1,33.33333333333333
841370,2,0,0.0
843380,4,1,25.0
844870,40,6,15.0
848450,100,16,16.0
851850,92,2,2.1739130434782608
858820,28,3,10.714285714285714
863550,14,2,14.285714285714285
868270,1,0,0.0
871720,6,0,0.0
872790,2,0,0.0
880940,83,3,3.614457831325301
881020,100,6,6.0
881100,100,3,3.0
884660,3,0,0.0
892970,100,14,14.000000000000002
893520,100,10,10.0
899440,13,1,7.6923076923076925
899770,100,16,16.0
900883,100,15,15.0
901583,100,29,28.999999999999996
918570,1,0,0.0
920210,100,10,10.0
921630,1,0,0.0
933110,73,5,6.8493150684931505
939960,100,9,9.0
942970,18,1,5.555555555555555
945360,100,18,18.0
949230,100,54,54.0
952060,100,6,6.0
955050,15,1,6.666666666666667
960090,100,6,6.0
962130,100,21,21.0
967050,34,2,5.88235294117647
975370,100,18,18.0
976730,100,21,21.0
977950,100,3,3.0
979690,70,24,34.285714285714285
990080,100,23,23.0
992300,26,1,3.8461538461538463
996470,1,0,0.0
1016920,19,1,5.263157894736842
1017180,100,25,25.0
1029690,100,8,8.0
1030830,100,14,14.000000000000002
1049410,72,4,5.555555555555555
1049590,19,0,0.0
1057090,100,7,7.000000000000001
1058020,15,0,0.0
1061910,56,3,5.357142857142857
1063730,100,24,24.0
1085660,100,6,6.0
1089350,9,1,11.11111111111111
1089980,100,11,11.0
1092790,100,4,4.0
1094520,7,1,14.285714285714285
1097150,89,3,3.3707865168539324
1100600,2,0,0.0
1113000,100,7,7.000000000000001
1116170,3,0,0.0
1118200,100,8,8.0
1128810,2,0,0.0
1129580,100,15,15.0
1142710,100,20,20.0
1144200,100,25,25.0
1145350,99,3,3.0303030303030303
1145360,99,6,6.0606060606060606
1147550,29,2,6.896551724137931
1147560,63,2,3.1746031746031744
1150690,100,9,9.0
1158310,100,12,12.0
1167630,100,11,11.0
1172380,100,13,13.0
1172470,1,0,0.0
1172620,99,10,10.1010101010101
1174180,100,21,21.0
1178830,33,3,9.090909090909092
1190000,99,10,10.1010101010101
1203220,25,1,4.0
1203620,100,26,26.0
1217060,99,9,9.090909090909092
1222670,100,12,12.0
1222680,100,7,7.000000000000001
1222700,100,10,10.0
1225330,4,0,0.0
1229490,100,12,12.0
1237970,100,4,4.0
1238810,98,21,21.428571428571427
1240440,99,25,25.252525252525253
1241100,19,2,10.526315789473683
1248130,100,3,3.0
1250410,100,27,27.0
1254120,1,0,0.0
1260320,100,4,4.0
